Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"clearText(findTestObject(""Application/SauceDemo/Login/LoginUsername-Field""), 0)",,,,2023-05-26 00:44:24,2023-05-26 00:44:25,1.777s,PASSED
"setText(findTestObject(""Application/SauceDemo/Login/LoginUsername-Field""), ""standard_user"", 0)",,,,2023-05-26 00:44:25,2023-05-26 00:44:27,1.640s,PASSED
"clearText(findTestObject(""Application/SauceDemo/Login/LoginPassword-Field""), 0)",,,,2023-05-26 00:44:27,2023-05-26 00:44:28,0.594s,PASSED
"setText(findTestObject(""Application/SauceDemo/Login/LoginPassword-Field""), ""secret_sauce"", 0)",,,,2023-05-26 00:44:28,2023-05-26 00:44:29,1.600s,PASSED
"tap(findTestObject(""Application/SauceDemo/Login/Login-Button""), 0)",,,,2023-05-26 00:44:29,2023-05-26 00:44:30,0.645s,PASSED
"getText(findTestObject(""Application/SauceDemo/Login/Products-Assertion""), 0)",,,,2023-05-26 00:44:30,2023-05-26 00:44:31,1.483s,PASSED
,,,,,,,
Test Cases/2. Dashboard,,,,2023-05-26 00:44:31,2023-05-26 00:44:50,18.375s,PASSED
"startExistingApplication(""com.swaglabsmobileapp"")",,,,2023-05-26 00:44:32,2023-05-26 00:44:44,12.246s,PASSED
"tap(findTestObject(""Application/SauceDemo/Dashboard/Backpack-Card""), 0)",,,,2023-05-26 00:44:44,2023-05-26 00:44:46,2.179s,PASSED
"tap(findTestObject(""Application/SauceDemo/Dashboard/Back to Products - Button""), 0)",,,,2023-05-26 00:44:46,2023-05-26 00:44:48,1.372s,PASSED
"tap(findTestObject(""Application/SauceDemo/Dashboard/ChangeDisplay""), 0)",,,,2023-05-26 00:44:48,2023-05-26 00:44:49,1.217s,PASSED
"tap(findTestObject(""Application/SauceDemo/Dashboard/ChangeDisplay""), 0)",,,,2023-05-26 00:44:49,2023-05-26 00:44:50,0.940s,PASSED
,,,,,,,
Test Cases/3. Filter,,,,2023-05-26 00:44:50,2023-05-26 00:45:17,26.642s,PASSED
"startExistingApplication(""com.swaglabsmobileapp"")",,,,2023-05-26 00:44:51,2023-05-26 00:45:03,12.275s,PASSED
"tap(findTestObject(""Application/SauceDemo/Filter/Filter""), 0)",,,,2023-05-26 00:45:03,2023-05-26 00:45:06,2.452s,PASSED
